NIL,0,0
NIL,12.68706,4
NIL,13.99088,1
NIL,14.34388,2
NIL,16.28588,1
NIL,17.18418,0
NIL,17.69929,1
name,20,0
NIL,20.49438,0
ACCCA,20.50933,0
NIL,20.98764,1
NIL,21.24165,0
NIL,22.83603,0
NIL,24.0864,0
NIL,24.08942,0
NIL,24.50049,1
NIL,24.51041,0
NIL,26.27376,1
NIL,27.79483,1
NIL,29.40883,5
name,30,0
NIL,30.65711,2
NIL,30.68499,1
name,40,0
NIL,40.52547,4
NIL,42,0
NIL,45.17222,0
NIL,47.65939,0
NIL,48.74828,1
name,50,0
NIL,20.9826,0
name,60,0
NIL,63.53648,2
NIL,70.11496,4
NIL,73.57714,5
NIL,99.41225,13
NIL,102.5693,8
NIL,-1,0
NIL,-1,0
NIL,-1,0
NIL,-1,0
NIL,-1,1
NIL,-1,7
zAAAA,122.4364,7
NIL,198.431,0
